pollution_2023,pollution_growth_rate,country_name,ccn3,country_region,country_land_area_in_km,pollution_density_in_km,pollution_density_per_mile,pollution_rank,mostpollutedcountries_particlepollution
2718352,-0.01153,Lithuania,440,Europe,62620,43.4103,112.4326,142,14.49
2085679,-0.00378,North Macedonia,807,Europe,25220,82.6994,214.1915,150,32.4
1830211,-0.01105,Latvia,428,Europe,62230,29.4104,76.173,151,13.3
1485509,0.00902,Bahrain,48,Asia,785,1892.3682,4901.2335,154,46.8
1322765,-0.00249,Estonia,233,Europe,42750,30.9419,80.1394,156,6.15
1260138,0.00691,Cyprus,196,Europe,9240,136.3786,353.2205,158,19.72
704149,0.01292,Macau,446,Asia,32.9,21402.7052,55433.0064,167,23.5
654768,0.01107,Luxembourg,442,Europe,2574.5,254.3282,658.7101,168,9.6
535064,0.00333,Malta,470,Europe,320,1672.075,4330.6743,173,9.4
412623,0.00644,Bahamas,44,North America,10010,41.2211,106.7626,176,3.3
375318,0.00649,Iceland,352,Europe,100830,3.7223,9.6407,179,5.55
